Streaks,Gains
-1,0.01
1,-0.02
-1,-0.01
-2,-0.03
-3,0.04
1,-0.0
-1,-0.1
-2,0.19
1,-0.01
-1,0.02
1,-0.02
-1,0.03
1,0.01
2,-0.01
-1,-0.01
-2,0.05
1,-0.0
-1,0.01
1,-0.12
-1,0.08
1,-0.05
-1,-0.04
-2,-0.12
-3,0.17
1,-0.0
-1,0.06
1,-0.16
-1,0.17
1,-0.01
-1,0.0
1,-0.06
-1,-0.01
-2,0.04
1,0.02
2,-0.01
-1,-0.03
-2,-0.0
-3,-0.0
-4,-0.03
-5,-0.07
-6,-0.02
-7,-0.04
-8,0.01
1,0.04
2,-0.0
-1,-0.01
-2,-0.0
-3,0.01
1,-0.0
-1,0.02
1,0.0
2,0.02
3,-0.03
-1,0.02
1,0.02
2,0.01
3,-0.04
-1,0.0
1,0.01
2,0.0
3,-0.01
-1,0.02
1,0.0
2,-0.02
-1,-0.01
-2,0.0
1,-0.01
-1,0.0
1,0.01
2,-0.03
-1,-0.04
-2,-0.17
-3,-0.06
-4,0.07
1,0.1
2,-0.05
-1,-0.03
-2,0.03
1,0.05
2,0.0
3,-0.01
-1,0.0
1,0.02
2,0.01
3,0.01
4,0.0
5,0.03
6,-0.05
-1,0.02
1,-0.02
-1,-0.04
-2,0.0
1,0.01
2,-0.03
-1,0.01
1,-0.05
-1,-0.02
-2,-0.04
-3,0.02
1,-0.0
-1,0.01
1,-0.01
-1,-0.02
-2,-0.0
-3,0.02
1,0.02
2,0.03
3,-0.12
-1,-0.1
-2,-0.01
-3,-0.0
-4,-0.18
-5,0.1
1,0.07
2,-0.08
-1,0.02
1,0.03
2,-0.02
-1,0.01
1,-0.03
-1,0.04
1,-0.0
-1,0.04
1,0.06
2,-0.01
-1,0.03
1,0.04
2,-0.03
-1,-0.1
-2,0.12
1,0.04
2,0.04
3,0.07
4,-0.0
-1,-0.01
-2,-0.01
-3,0.01
1,0.0
2,-0.01
-1,-0.0
-2,-0.02
-3,-0.01
-4,0.01
1,-0.0
-1,0.01
1,0.01
2,-0.01
-1,0.02
1,-0.01
-1,-0.03
-2,-0.13
-3,0.06
1,0.02
2,0.0
3,-0.01
-1,0.0
1,-0.01
-1,-0.07
-2,-0.04
-3,-0.03
-4,0.0
1,-0.0
-1,0.02
1,0.0
2,-0.02
-1,-0.03
-2,-0.0
-3,-0.02
-4,0.0
1,-0.03
-1,-0.12
-2,-0.01
-3,-0.08
-4,-0.04
-5,0.02
1,0.02
2,0.05
3,-0.08
-1,-0.08
-2,0.01
1,-0.02
-1,-0.01
-2,0.07
1,0.04
2,-0.02
-1,-0.01
-2,0.15
1,0.01
2,-0.05
-1,0.01
1,0.02
2,-0.01
-1,0.12
1,-0.21
-1,0.06
1,0.02
2,0.01
3,-0.01
-1,-0.0
-2,0.01
1,0.08
2,-0.01
-1,-0.04
-2,0.03
1,0.02
2,-0.01
-1,0.0
1,0.02
2,0.0
3,0.0
4,0.02
5,0.03
6,0.01
7,0.01
8,-0.01
-1,-0.05
-2,-0.01
-3,-0.01
-4,-0.05
-5,0.0
1,-0.04
-1,-0.03
-2,-0.17
-3,0.18
1,0.0
2,0.0
3,0.0
4,-0.0
-1,0.0
1,0.01
