Streaks,Gains
4,3.91
5,-2.23
-1,-0.33
-2,4.7
1,0.62
2,-6.72
-1,3.12
1,-0.09
-1,0.68
1,-0.26
-1,0.61
1,1.1
2,-1.45
-1,0.6
1,-2.09
-1,0.24
1,0.72
2,0.77
3,3.87
4,-0.54
-1,1.64
1,0.38
2,-3.15
-1,1.39
1,1.47
2,-0.79
-1,-0.6
-2,0.45
1,-0.65
-1,-1.1
-2,0.64
1,-0.09
-1,1.33
1,1.6
2,2.67
3,-0.99
-1,-0.1
-2,-1.41
-3,0.54
1,0.86
2,0.42
3,0.18
4,0.22
5,-0.3
-1,1.33
1,0.13
2,-0.74
-1,0.04
1,0.94
2,0.88
3,0.09
4,0.01
5,1.35
6,3.16
7,3.97
8,7.01
9,-2.78
-1,0.37
1,0.96
2,2.99
3,5.28
4,-0.34
-1,-1.21
-2,0.81
1,2.61
2,2.03
3,1.74
4,10.03
5,-13.32
-1,-9.75
-2,0.59
1,1.58
2,-1.1
-1,0.55
1,-13.07
-1,3.0
1,1.68
2,-0.25
-1,0.35
1,0.91
2,8.63
3,-3.22
-1,2.7
1,-0.25
-1,2.64
1,-0.15
-1,0.22
1,-3.59
-1,0.38
1,2.72
2,0.28
3,0.03
4,-0.49
-1,0.68
1,4.77
2,2.28
3,1.71
4,0.91
5,1.76
6,-2.04
-1,1.29
1,2.93
2,0.5
3,-7.12
-1,1.95
1,1.12
2,-0.66
-1,-0.84
-2,1.26
1,0.1
2,2.04
3,2.46
4,0.01
5,-0.48
-1,2.88
1,4.47
2,-0.45
-1,4.65
1,0.23
2,-2.95
-1,2.9
1,1.05
2,0.06
3,2.82
4,2.55
5,2.2
6,-1.4
-1,0.31
1,1.17
2,-4.08
-1,-6.87
-2,3.98
1,-7.34
-1,6.61
1,4.23
2,1.15
3,0.11
4,1.09
5,-6.85
-1,-8.91
-2,-9.85
-3,4.72
1,3.07
2,6.93
3,-6.81
-1,-0.48
-2,-9.31
-3,3.19
1,0.04
2,8.05
3,0.0
4,-0.38
-1,0.07
1,4.08
2,0.53
3,1.6
4,4.11
5,-0.34
-1,-1.24
-2,5.38
1,-0.09
-1,-0.85
-2,2.16
1,0.05
2,1.08
3,-0.46
-1,-3.3
-2,-0.2
-3,-0.07
-4,0.28
1,1.34
2,0.85
3,0.62
4,2.23
5,0.93
6,-0.19
-1,0.01
1,0.63
2,2.14
3,0.96
4,3.95
5,0.09
6,0.29
7,0.85
8,5.74
9,1.67
10,3.62
11,2.11
12,-0.2
-1,2.2
1,1.34
2,5.26
3,1.96
4,4.29
5,2.28
6,-7.6
-1,5.14
1,0.69
2,-2.86
-1,1.55
1,2.42
2,4.58
3,3.66
4,4.04
5,-0.9
-1,3.72
1,7.61
2,7.75
3,-4.33
-1,-2.72
-2,-7.52
-3,6.39
1,2.4
2,-3.81
-1,4.84
1,4.72
2,2.97
3,2.85
4,-1.36
-1,6.72
1,7.09
2,-6.6
-1,4.09
