Streaks,Gains
-1,-1.72
-2,0.53
1,-0.48
-1,-0.61
-2,-1.88
-3,-0.46
-4,1.21
1,-0.56
-1,0.08
1,0.0
2,0.45
3,-1.5
-1,1.06
1,-0.74
-1,-0.02
-2,-0.37
-3,-0.68
-4,-3.22
-5,2.62
1,0.34
2,-0.58
-1,-0.51
-2,0.29
1,0.78
2,0.97
3,-0.06
-1,-0.27
-2,0.66
1,-0.41
-1,-0.35
-2,0.05
1,-1.66
-1,1.54
1,-1.49
-1,-1.79
-2,1.24
1,-0.43
-1,-2.61
-2,1.21
1,-2.16
-1,-0.2
-2,1.43
1,2.9
2,-0.36
-1,0.08
1,-0.45
-1,0.3
1,0.7
2,0.56
3,-0.63
-1,0.26
1,-0.58
-1,-0.52
-2,0.58
1,0.47
2,-0.13
-1,2.16
1,0.23
2,-0.46
-1,0.01
1,0.66
2,0.01
3,-0.37
-1,0.7
1,0.0
2,-0.81
-1,1.03
1,0.16
2,0.89
3,-0.13
-1,-0.33
-2,0.98
1,-0.18
-1,-0.87
-2,0.3
1,-0.52
-1,-0.4
-2,-0.21
-3,1.23
1,0.26
2,-0.88
-1,0.03
1,2.36
2,-0.17
-1,0.07
1,-0.19
-1,0.04
1,0.26
2,0.15
3,-0.48
-1,-0.11
-2,-0.34
-3,-0.36
-4,0.02
1,-0.03
-1,-0.31
-2,1.53
1,-0.69
-1,-4.86
-2,-0.46
-3,-1.35
-4,-1.03
-5,1.64
1,1.45
2,-1.19
-1,0.6
1,-0.46
-1,0.38
1,0.52
2,1.32
3,-0.01
-1,0.18
1,-0.39
-1,-0.25
-2,-0.62
-3,-0.27
-4,0.69
1,0.14
2,-0.54
-1,0.62
1,-0.84
-1,0.67
1,0.01
2,0.06
3,-0.43
-1,-0.36
-2,0.39
1,-0.36
-1,0.74
1,-0.08
-1,-0.08
-2,-0.03
-3,0.12
1,0.02
2,0.05
3,0.08
4,-0.11
-1,-0.18
-2,-0.46
-3,-0.78
-4,0.38
1,-0.0
-1,-0.36
-2,-0.26
-3,-1.63
-4,0.83
1,4.0
2,-0.62
-1,0.14
1,0.42
2,-0.08
-1,0.23
1,0.03
2,-0.25
-1,-0.19
-2,0.09
1,0.09
2,0.97
3,-0.21
-1,-1.52
-2,0.63
1,1.64
2,0.93
3,-0.33
-1,-0.26
-2,0.01
1,0.15
2,-0.74
-1,-0.16
-2,0.35
1,-0.62
-1,0.47
1,-0.03
-1,-0.48
-2,-0.11
-3,-0.72
-4,0.24
1,-0.55
-1,0.05
1,-0.11
-1,-0.03
-2,-0.83
-3,0.95
1,0.24
2,-2.37
-1,0.41
1,0.32
2,-0.09
-1,0.37
1,0.14
2,-0.51
-1,-0.45
-2,-1.08
-3,0.2
1,0.12
2,-0.22
-1,0.64
1,-0.71
-1,0.5
1,-1.1
-1,-0.22
-2,-0.47
-3,0.34
1,0.42
2,0.06
3,0.39
4,0.25
5,-0.56
-1,-1.44
-2,1.4
1,-0.11
-1,0.36
1,1.19
2,0.1
3,0.13
4,0.37
5,-0.03
-1,-0.17
-2,-0.25
-3,0.42
1,-0.1
-1,-0.84
-2,0.21
1,0.22
2,-1.26
-1,-0.49
-2,-0.68
-3,0.23
1,-0.31
-1,-0.17
-2,0.33
1,0.19
2,0.49
3,2.08
4,1.39
5,0.98
6,0.34
7,-0.07
-1,0.03
1,-0.34
-1,-0.19
-2,-0.52
-3,0.2
1,-0.8
-1,0.66
1,0.79
2,-0.81
-1,0.09
1,0.08
2,-0.48
-1,0.92
1,1.52
2,-1.0
-1,-0.32
-2,0.8
1,-0.02
-1,0.16
1,-0.3
-1,0.12
1,-0.48
-1,0.19
1,0.02
2,0.5
3,0.35
4,1.8
5,0.27
6,-0.02
-1,5.03
1,0.71
2,-0.52
-1,-0.47
-2,0.28
1,0.52
2,0.41
3,0.21
4,0.19
5,0.5
6,0.31
7,0.45
8,-0.73
-1,0.27
1,-0.69
-1,-0.18
-2,-0.02
-3,-0.63
-4,0.36
1,0.32
2,0.15
3,-0.21
-1,0.06
1,-0.04
-1,-0.2
-2,0.17
1,0.08
2,0.18
3,0.43
4,-0.43
-1,0.38
1,-0.27
-1,-0.01
-2,0.76
1,-0.49
-1,0.27
1,-0.15
-1,-0.93
-2,-0.72
-3,0.48
1,0.23
2,0.39
3,0.18
4,0.18
5,-0.01
-1,-0.23
-2,-0.1
-3,0.03
1,-0.08
-1,0.33
1,-0.02
-1,0.21
1,-0.18
-1,-0.16
-2,0.32
1,1.79
2,-0.14
-1,-0.11
-2,-0.69
-3,-1.4
-4,0.47
1,0.43
2,-0.67
-1,-0.06
-2,-0.33
-3,-0.51
-4,0.65
1,0.02
2,-0.13
-1,0.26
1,-0.36
-1,0.09
1,-0.2
-1,-0.05
-2,0.27
1,0.72
2,-1.2
-1,0.65
1,1.65
2,1.49
3,0.05
4,0.14
5,-0.79
-1,-0.17
-2,-0.04
-3,0.62
1,0.59
2,-0.56
-1,0.16
1,-0.02
-1,-0.3
-2,0.3
1,-0.0
-1,0.38
1,0.92
2,0.71
3,-0.54
-1,-0.25
-2,0.22
1,0.49
2,-0.72
-1,-0.18
-2,0.59
1,0.11
2,0.96
3,1.2
4,0.43
5,0.58
6,-0.57
-1,0.05
1,-0.27
-1,-0.09
-2,0.51
1,-0.11
-1,-0.36
-2,0.39
1,0.01
2,-0.2
-1,-1.4
-2,0.05
1,0.87
2,0.33
3,2.73
4,2.4
5,0.91
6,0.88
7,-0.34
-1,-0.4
-2,-0.05
-3,0.83
1,-0.17
-1,0.29
1,0.14
2,0.42
3,-1.08
-1,-0.0
-2,0.61
1,-0.59
-1,0.53
1,-0.58
-1,-0.38
-2,0.43
1,-0.41
-1,-0.42
-2,-0.7
-3,0.69
1,-0.6
-1,1.07
1,-1.42
-1,0.21
1,0.41
2,0.06
3,-0.53
-1,0.12
1,0.39
2,0.2
3,-0.72
-1,-0.18
-2,0.62
1,0.32
2,-0.88
-1,0.0
1,0.11
2,0.54
3,-0.09
-1,1.3
1,1.79
2,-1.04
-1,0.46
1,-0.44
-1,-0.65
-2,-1.3
-3,0.77
1,-0.47
-1,-0.05
-2,-0.01
-3,0.37
1,0.36
2,-1.14
-1,0.2
1,-0.17
-1,-0.23
-2,0.56
1,-0.5
-1,0.31
1,0.73
2,0.24
3,-0.18
-1,0.46
1,0.14
2,-0.34
-1,0.33
1,-0.06
-1,-0.14
-2,0.33
1,0.5
2,-0.19
-1,-0.3
-2,-0.3
-3,0.17
1,-0.02
-1,-0.45
-2,0.02
1,0.3
2,0.14
3,0.05
4,-0.05
-1,-0.95
-2,0.49
1,0.65
2,1.61
3,-0.42
-1,-0.08
-2,0.13
1,-0.21
-1,-1.05
-2,0.06
1,0.26
2,-0.41
-1,0.53
1,-0.23
-1,0.49
1,0.15
2,-0.2
-1,-0.09
-2,0.27
1,-0.1
-1,-1.1
-2,0.12
1,-0.39
-1,0.91
1,0.32
2,0.7
3,1.39
4,-0.03
-1,0.15
1,0.21
2,0.18
3,-0.38
-1,-0.13
-2,-0.51
-3,0.37
1,0.11
2,1.37
3,0.34
4,0.06
5,-0.33
-1,0.21
1,-0.11
-1,0.07
1,-0.08
-1,-0.34
-2,0.17
1,0.38
2,-0.91
-1,0.22
1,-0.5
-1,-0.07
-2,0.44
1,0.75
2,-0.1
-1,-0.03
-2,0.23
1,-0.83
-1,0.4
1,0.08
2,-0.63
-1,0.11
1,-0.95
-1,-0.16
-2,-0.73
-3,-0.01
-4,-0.62
-5,-0.46
-6,0.08
1,1.27
2,0.63
3,-0.77
-1,0.85
1,-0.32
-1,0.26
1,-0.18
-1,-0.5
-2,-1.83
-3,0.65
1,-1.42
-1,0.06
1,0.49
2,-0.42
-1,1.02
1,-0.25
-1,-0.3
-2,1.62
1,0.65
2,1.38
3,-0.14
-1,0.15
1,0.53
2,-0.47
-1,0.94
1,-0.11
-1,-0.17
-2,0.5
1,1.11
2,-0.1
-1,-0.27
-2,-0.08
-3,-0.1
-4,-0.53
-5,-0.52
-6,0.18
1,-0.04
-1,0.43
1,-0.06
-1,-0.12
-2,-0.31
-3,-0.0
-4,-0.07
-5,-0.28
-6,-0.03
-7,1.55
1,-0.38
-1,-0.73
-2,0.58
1,-0.3
-1,-0.45
-2,-0.52
-3,0.36
1,3.29
2,0.55
3,0.37
4,-0.16
-1,0.16
1,-0.75
-1,-0.47
-2,0.66
1,-0.09
-1,0.4
1,-0.4
-1,1.19
1,0.14
2,-0.07
-1,2.43
1,0.44
2,-0.17
-1,-0.28
-2,1.89
1,-2.08
-1,-0.02
-2,0.63
1,-0.43
-1,-0.1
-2,0.45
1,0.07
2,0.09
3,0.63
4,-0.39
-1,-0.25
-2,-0.26
-3,-0.18
-4,0.22
1,0.03
2,-1.45
-1,0.52
1,-0.19
-1,0.15
1,-0.56
-1,-0.04
-2,0.76
1,-0.41
-1,0.34
1,-0.62
-1,0.21
1,0.1
2,0.04
3,0.3
4,0.03
5,0.04
6,-0.34
-1,-0.39
-2,0.05
1,-0.58
-1,0.57
1,0.86
2,-0.11
-1,-0.28
-2,-0.17
-3,0.24
1,0.05
2,-0.44
-1,0.33
1,0.1
2,-0.11
-1,-0.76
-2,-1.81
-3,2.1
1,1.12
2,0.29
3,1.51
4,-0.6
-1,0.04
1,-0.02
-1,0.4
1,-0.02
-1,-0.21
-2,-0.61
-3,-0.15
-4,-0.93
-5,0.2
1,-0.6
-1,-0.51
-2,2.05
1,0.41
2,-0.16
-1,-0.3
-2,-0.14
-3,0.19
1,-0.54
-1,-0.23
-2,0.7
1,0.43
2,-0.05
-1,-0.28
-2,-0.06
-3,-0.1
-4,1.37
1,-0.25
-1,0.06
1,-0.44
-1,0.1
1,0.49
2,-0.73
-1,0.24
1,-0.2
-1,0.13
1,0.63
2,-0.07
-1,-0.27
-2,1.1
1,0.53
2,0.17
3,1.01
4,-0.12
